id,Restricao,Hard,Soft
1,diabetes,"{ ""açúcar"": [ ""açúcar"", ""açúcar de coco"", ""demerara"", ""açúcar cristal"", ""açúcar de confeiteiro"" ], ""mel"": [ ""mel"" ], ""bebidas_alcoolicas"": [ ""bebidas alcoólicas"" ] } ","{ ""estévia"": [ ""estévia"", ""stévia"", ""adoçante de stevia"" ], ""eritritol"": [ ""eritritol"" ], ""xilitol"": [ ""xilitol"" ], ""sucralose"": [ ""sucralose"" ], ""adoçante"": [ ""adoçante"" ] }"
2,hipertensão,"{ ""sais"": [ ""sal refinado"", ""sal marinho"", ""sal rosa do Himalaia"", ""sal do Himalaia"", ""sal light"", ""sal diet"", ""sal líquido"", ""sal de fumaça"" ], ""alimentos_ultraprocessados"": [ ""temperos prontos"", ""shoyu"", ""molho de soja"", ""salgadinhos"", ""macarrão instantâneo com tempero pronto"" ], ""carnes_salgadas_e_embutidos"": [ ""carne do sol"", ""bacalhau"", ""linguiça"", ""salame"", ""presunto"", ""bacon"", ""calabresa"" ], ""conservas"": [""azeitona"", ""pepino em conserva"", ""alcaparras"" ], ""temperos_industrializados"": [ ""molho de soja"", ""temperos para grelhados"", ""sal de fumaça"" ] } ","{ ""temperos"": [ ""molho de mostarda"", ""pasta de mostarda"", ""mostarda dijon"", ""temperos para grelhados"", ""vinagre de vinho"", ""vinagre de vinho tinto"", ""pimenta calabresa"", ""páprica defumada"", ""manteiga"", ""molho balsâmico"", ""vinagre balsâmico"", ""aceto balsâmico"", ""vinagre de arroz"" ], ""especiarias_estimulantes"": [ ""ginseng"", ""chá de ervas"", ""masala"" ] }"
3,doença renal crônica,"{ ""frutas"": [ ""carambola"" ], ""sais"": [ ""sal rosa do Himalaia"", ""sal do Himalaia"", ""sal light"", ""sal diet"" ] }","{ ""proteinas_em_excesso"": [ ""carne vermelha"", ""frango"", ""peixe gorduroso"" ], ""alimentos_ricos_em_potassio"": [ ""banana"", ""batata"", ""batata-doce"", ""purê de batata"", ""batata inglesa"", ""tomate"", ""tomate cereja"", ""molho de tomate"", ""abacate"", ""laranja"", ""suco de laranja"", ""tangerina"", ""melancia"", ""pêssego"", ""frutas em conserva"" ], ""alimentos_ricos_em_fosforo"": [ ""leite"", ""leite sem lactose"", ""leite de arroz"", ""leite de aveia"", ""queijo parmesão"", ""queijo cottage"", ""queijo fresco"", ""queijo minas frescal"", ""queijo ricota"", ""chocolate""]}"
4,síndrome do intestino irritável,"{ ""laticinios_com_lactose"": [ ""leite"", ""queijo cheddar"", ""queijo parmesão"", ""queijo curado"", ""queijo cottage"", ""queijo suíço"", ""queijo feta"", ""iogurte"", ""iogurte natural"", ""iogurte grego"" ], ""produtos_com_sorbitol"": [ ""balas sem açúcar"", ""chicletes"" ], ""leguminosas_fermentaveis"": [ ""feijão"", ""lentilha"", ""grão-de-bico"", ""ervilha"" ], ""vegetais_fermentaveis"": [ ""alho"", ""cebola"", ""brócolis"", ""couve-flor"", ""repolho"" ], ""bebidas_alcoolicas"": [ ""álcool"" ], ""cafeina"": [ ""cafeína"" ], ""tempero"": [ ""pimenta"", ""pimenta-do-reino"" ] }","{ ""laticinios_sem_lactose"": [ ""queijo sem lactose"", ""iogurte sem lactose"", ""leite sem lactose"" ], ""vegetais_ricos_em_amido"": [ ""batata-doce"" ], ""especiarias_estimulantes"": [ ""ginseng"", ""chá de ervas"", ""masala"" ], ""alimentos_acidos"": [ ""vinagre balsâmico"", ""molho balsâmico"", ""vinagre de vinho"" ], ""frutas_richas_em_frutose"": [ ""laranja"", ""suco de laranja"", ""tangerina"", ""melancia"", ""pêssego"", ""frutas em conserva"" ], ""frutas_altas_em_frutose_e_poliois"": [ ""maçã"", ""pera"", ""manga"", ""melancia"", ""ameixa"", ""lichia"" ], ""graos_fermentaveis"": [ ""trigo integral"", ""centeio"", ""farelo de trigo"" ], ""bebidas_e_alimentos_fermentados"": [ ""kombucha"", ""misô"", ""kimchi"", ""chucrute"", ""mel"" ] }"
5,gota,"{ ""carnes_ricas_em_purinas"": [ ""fígado"", ""rim"", ""vísceras"", ""carne de caça"", ""carne de órgão"", ""carne de veado"", ""carne de coelho"", ""perdiz"" ], ""frutos_mar_peixes_purinas"": [ ""sardinha"", ""anchova"", ""bacalhau"", ""atum"", ""mexilhão"", ""lagosta"", ""marisco"", ""arenque"", ""badejo"", ""baiacu"", ""caranguejo"", ""cação"", ""peixe de água fria"" ], ""carnes_processadas_e_embutidos"": [ ""salame"", ""presunto"", ""bacon"", ""salsicha"", ""carne processada"" ], ""bebidas_acucares_e_acido_urico"": [ ""álcool"", ""frutose"" ] }","{ ""leguminosas_ricas_em_purinas"": [ ""feijão"", ""lentilha"", ""ervilha"", ""grão-de-bico"", ""feijão-preto"", ""feijão-mungo"", ""soja"", ""edamame"", ""tempeh"", ""proteína vegetal"" ] }"
6,dislipidemia,"{ ""ultraprocessados"": [ ""nuggets"", ""sorvete cremoso"", ""bombom de chocolate"" ], ""gorduras_saturadas_e_trans"": [ ""óleo de coco"", ""gordura animal"", ""manteiga"", ""creme de leite"", ""banha"" ], ""carnes_processadas_e_embutidos"": [ ""salames"", ""presuntos"", ""linguiças"" ] }","{ ""carboidratos_refinados"": [ ""farinha branca"", ""pão branco"", ""bolos industrializados"" ] }"
7,doença de crohn,"{ ""leite_e_derivados"": [ ""leite"", ""queijo"", ""iogurte"", ""queijo cottage"", ""queijo parmesão"", ""queijo fetta"", ""queijo cottage"",""queijo suíço"", ""queijo feta"", ""iogurte"", ""iogurte natural"", ""iogurte grego"", ""manteiga"", ""creme de leite"", ""requeijão"", ""doce de leite"" ], ""frutas_e_legumes_com_casca"": [ ""frutas com casca"", ""legumes com casca"" ], ""alimentos_fritos_e_gordurosos"": [ ""alimentos fritos"", ""alimentos gordurosos"" ], ""alimentos_apimentados_e_picantes"": [ ""pimenta"", ""pimenta-do-reino"", ""temperos picantes"" ], ""adoçantes_poliol"": [ ""sorbitol"", ""manitol"" ] }","{ ""carnes_processadas"": [ ""salsicha"", ""linguiça"", ""bacon"", ""presunto"", ""mortadela"", ""salame"" ], ""cereais_com_gluten"": [ ""pães"", ""biscoitos"", ""massas com farinha de trigo"", ""centeio"", ""cevada"" ], ""leguminosas"": [ ""feijão"", ""grão-de-bico"", ""lentilhas"", ""soja"", ""ervilha seca"" ], ""vegetais_fermentaveis"": [ ""couve de Bruxelas"", ""aspargos"", ""alcachofra"", ""alho"", ""alho-poró"", ""cebola"", ""couve-flor"", ""repolho"", ""couve-manteiga"", ""ervilhas"", ""brócolis"", ""quiabo"", ""chicória"" ], ""produtos_industrializados"": [ ""comida pronta congelada"", ""biscoitos"", ""massas prontas para bolos"", ""temperos prontos"", ""sopas prontas"", ""sorvetes"", ""doces"", ""fast food"", ""salgadinhos"" ], ""bebidas"": [ ""bebidas alcoólicas"", ""refrigerantes"", ""sucos industrializados"" ], ""frutas_acidas"": [ ""laranja"", ""limão"", ""abacaxi"", ""toranja"" ], ""frutas_secas"": [ ""uva-passa"", ""tâmara"", ""damasco"", ""figo"" ], ""sementes_dificeis_de_digerir"": [ ""linhaça"", ""semente de chia"", ""semente de romã"" ], ""vegetais_irritantes"": [ ""cebola"", ""pepino"", ""beterraba"" ] }"
8,anemia ferropriva,,"{ ""inibem_absorcao_de_ferro"": [ ""leite"", ""queijo"", ""chá preto"", ""café"" ], ""ricos_em_fitatos"": [ ""farinha de trigo integral"", ""cereais integrais"" ], ""ricos_em_oxalatos"": [ ""espinafre"", ""acelga"", ""beterraba"" ] }"
9,hipotireoidismo,,"{ ""vegetais_cruciferos"": [ ""brócolis"", ""couve"", ""couve-flor"", ""repolho"", ""couve-de-bruxelas"", ""nabo"", ""rabanete"", ""agrião"", ""mostarda"", ""acelga"" ], ""soja_derivados"": [ ""soja"", ""tofu"", ""leite de soja"", ""proteína de soja"", ""missô"", ""edamame"", ""tempeh"" ], ""alimentos_antinutricionais"": [ ""sementes de girassol"", ""feijão"", ""lentilha"", ""grão-de-bico"", ""ervilha"" ], ""excesso_iodo"": [ ""alga marinha"", ""nori"", ""wakame"" ] }"
10,doença hepática gordurosa não alcoólica,"{ ""alimentos_gordurosos"": [ ""alimentos gordurosos"" ], ""bebidas_alcoolicas"": [ ""bebidas alcoólicas"" ] }","{ ""acucares_adicionados"": [ ""açúcar"", ""açúcar mascavo"", ""açúcar de coco"", ""mel"", ""melado"", ""xarope de bordo"", ""xarope de agave"", ""melaço"", ""stevia"", ""eritritol"", ""xilitol"", ""adoçante natural"", ""adoçantes"", ""gelatina diet"", ""geleia sem açúcar"", ""suco de frutas"", ""suco natural"" ], ""gorduras_saturadas_e_trans"": [ ""manteiga de amendoim"", ""pasta de amendoim"", ""manteiga de amêndoa"", ""pasta de amêndoas"", ""outra manteiga de nozes"", ""creme de ricota"", ""cream cheese"", ""ricota"", ""óleo de coco"" ], ""farinhas_refinadas_e_processadas"": [ ""farinha branca"", ""farinha de arroz"", ""farinha de centeio"", ""farinha de trigo"", ""farinha integral"", ""farinha de amêndoas"", ""farelo de aveia"", ""pão integral"", ""tapioca"", ""cuscuz"", ""bolo"", ""biscoito"", ""biscoitos"", ""cookie"", ""bolacha"", ""muffin"", ""bolinho"", ""barrinha de cereal"", ""barrinha de proteína"", ""pão"", ""tortilha integral"", ""barras de cereais"", ""panqueca"" ], ""alimentos_ultraprocessados"": [ ""pudim"", ""pudim de chia"", ""pudim de abacate"", ""panna cotta"", ""gelatina"", ""gelatina sem açúcar"", ""sorvete"", ""picolé"", ""barras de aveia"", ""barrinha de frutas"", ""mix de nuts"", ""proteína em pó"", ""proteína vegana"", ""proteína em pó de ervilha"" ] }"
